# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

A. deferred,
B. irritated,
C. impelled,
D. restricted,
E. encouraged,
36. This card entitles you to attend the film show,
A. disqualifies,
B. discourages,
C. disenchants,
D. proclaims,
E. satisfies,
37. This is an abridge edition of Oliver Twist,
A. reprinted,
B. enlarge,
C. outdated,
D. extinct,
E. banned,
In the question below choose the option nearest in meaning to the underlined word or phrase:,
38. Victor will not attend the dinner party tonight; he is afraid of his own shadow,
A. not in the mood,
B. attending another party,
C. scared of imaginary things,
D. unhappy with is assigned role,
E. unable to forget his fears,
39. Telling Ali to break his habit of coming to work late is like knocking your head against a brick wall,
A. trying the impossible,
B. asking him to beat you,
C. making a fool of yourself,
D. asking him to be your enemy,www.myschoolgist.com
E. making him break down at work,
40. The manager often quarrels with his staff because he goes around with a chip on his shoulder,
A. deformed shoulder,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

B. readiness to be angered,
C. look of contempt,
D. an air of superiority,
E. search of gossip,
41. The new employees is so humble and friendly that he will soon make himself popular,
A. welcomed and accepted,
B. hated,
C. estranged,
D. rejected,
E. a personal friend,
42. he took exception to Ezenwa's remark,
A. was delighted at,
B. was excited by,
C. got demoralized by,
D. objected to,
E. was perplexed by,
43. Kelechi hardly ever falls sick,
A. most often,
B. very seldom,
C. sometimes,
D. frequently,
E. occasionally,
44. The gallant soldiers met their Waterloo at Philippi,
A. victory,
B. trouble,
C. defeat,
D. happiest period,
E. enemy,
45. It is futile trying to make bricks without straw,
A. fertile,
B. important,
C. fragile,
D. vain,
E. bad,www.myschoolgist.com
46. The ceiling of my bed-room fell in and knocked me out,
A. made me unconscious,
B. removed me,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

C. flattened me,
D. killed me,
E. frightened me,
47In may 1978 the rain fell incessantly and made life drab,
A. at intervals,
B. recurrently,
C. repeatedly,
D. concurrently,
E. continuously,
48. Little Ugochi has a bicycle which is in marvelous condition,
A. need of a tune,
B. excellent,
C. questionable,
D. unstable,
E. working,
49. The lecturer maintained his usual good humor in spite of the cat-calls and rude behavior of his students,
A. provoked,
B. obtained,
C. kept,
D. lost,
E. improved,
50. The class as a whole will have a lecture on scarce commodities tomorrow.,
A. argument,
B. deliberation,
C. dispute,
D. conference,
E. talk,
51. Many states practice the ideals of democracy,
A. government by election,
B. government by representative,
C. government by civilians,
D. government by all the people,
E. oligarchy,
www.myschoolgist.com,
52. He lost his voice momentarily,
A. in moment,
B. in a split second,
C. for a brief period of time,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

D. without delay,
E. instantly,
53.The corrupt official had to leave the public service willy-nilly,
A. unprepared,
B. reluctantly,
C. willingly,
D. compulsorily,
E. by retirement,
54. I am yet to write the penultimate paragraph of my essay,
A. last but one,
B. third to the last,
C. second,
D. concluding,
E. introductory,
55. One hindrance to an orderly economic development of the country is large scale fraud and corruption,
A. difficult,
B. disturbance,
C. reason,
D. obstacle,
E. ritual,
56. Stephen was blamed for leaving his door ajar during the heavy rainfall.,
A. unlocked,
B. unbolted,
C. open,
D. keyless,
E. locked,
"57. If people don't want to play the game according to the rule, that is their business",
A. their business will suffer,
B. it is not their fault,
C. they should blame others for it,
D. other people will take over their business,
E. they will have themselves to blame,
"58. Nigeria, like most other African countries is predominantly agricultural",www.myschoolgist.com
A. mainly,
B. certainly,
C. entirely,
D. undoubtedly,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

E. superficially,
"59. Despite increasingly punitive laws against hemp smoking, it is still rising at an alarming rate.",
A. devastating,
B. exemplary,
C. barbaric,
D. severe,
E. satisfactory.,
60. The senate postponed the meeting the meeting indefinitely,
A. for a short time,
B. for six months,
C. definitely,
D. without fizzing a date,
E. for several months,
61. You have been asked to change your laissez-faire attitude to work,
A. stupid,
B. care-free,
C. careful,
D. serious,
E. responsible,
"62. Since his father's death, Osita has not been able to cope with the tasks of a family head",
A. perform adequately,
B. tolerate,
C. accept,
D. assess properly,
E. manage,
63. My spell in the university was an unmitigated disaster,
A. an unavoidable,
B. a painful,
C. a regrettable,
D. an unqualified,
E. an unfortunate,
64. To be above board is to be,
A. afloat,www.myschoolgist.com
B. on top of a plank,
C. above suspicion,
D. raised above a board,
E. the chairman of a board,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

65. It is sheer foolhardiness for unarmed policemen to pursue armed robbers,
A. nonsense,
B. bravery,
C. foolishness,
D. stupidity,
E. foolish risk taking,
66. Bankole was a man given to much wine,
A. pushed to,
B. taken over by,
C. addicted to,
D. forced to,
E. afflicted by,
67. The officer refused to be taken in by the report given by the private,
A. won over,
B. drawn in,
C. overtaken,
D. deceived,
E. involved,
68. The principal advised the boy to come to grip with himself if he wanted to do well at the end of his course.,
A. criticized himself,
B. master his difficulties,
C. learn to be obedient,
D. behave himself,
E. fight with himself,
69. The judge came down heavily on the accused person in his judgement,
A. crashed heavily,
B. fell down headlong,
C. descended upon heavily,
D. impose a stiff penalty,
E. crash-landed on,
70. Employees have been urged to desist from witch-hunting and character assassination,
A. commanded to stop hunting witches,
B. ordered to stop assassinating witches,www.myschoolgist.com
C. entreated not to accuse individuals unjustly and malicious,
D. informed to resist witch-hunters and character assassins,
E. urged to desist from barbaric acts,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

71. The government should stop white elephant projects,
A. projects in which white men kill elephants,
B. projects in which white elephants are used,
C. projects for painting some elephants white,
D. high-cost projects with low utility values,
E. low-cost projects with high utility values,
In the question below choose the word or phrase which best fills the gap in each sentence:,
72. Mary goes to school .... bus,
A. in,
B. on,
C. with,
D. through,
E. by,
73. The loud noise in the neighborhood attracted people who stared .... the thief,
A. at,
B. about,
C. with,
D. on,
E. over,
74. The students unrest resulted .... the expulsion of the ringleaders,
A. to,
B. in,
C. from,
D. with,
E. by,
75. The lawyer insisted .... the full payment of his charge,
A. with,
B. in,
C. for,
D. at,
E. on,
"76. Little children are usually afraid .... thunder,",
A. about,
B. for,
C. of,www.myschoolgist.com
D. with,
E. at,
"77. On the orders of the steward, the cook rushed .... the market",
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

A. to,
B. at,
C. for,
D. in,
E. against,
"78. The principal advised that we pursue this case cautiously, otherwise we are bound to be taken .... by Ada's",
lies,
A. away,
B. out,
C. in,
D. off,
E. on,
79. I am very sorry .... to attend the meeting yesterday,
A. for failure,
B. in failing,
C. to have failed,
D. to fail,
E. for failing,
"80. When you are faced with an examination of this nature, endeavor to keep your mind .... the job and not be",
distracted for one moment,
A. at,
B. in,
C. for,
D. on,
E. to,
81. It all depended on what ....,
A. does he want,
B. he wants,
C. he does want,
D. he wanted,
E. did he want,
"82. Samuel: would you please come here. John? John: No, I'm busy .... in my farm",
A. I am working,
B. I'm working,www.myschoolgist.com
C. I am to work,
D. I shall have worked,
E. I go to work,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

83. My colleagues .... before I arrived,
A. started writing,
B. wrote,
C. had started writing,
D. have written,
E. have been writing,
"84. After the team had conceded two goals, their enthusiasm ....",
A. was beginning to wane,
B. was waning,
C. began to wane,
D. had begun to wane,
E. had ben waning,
85. The Government .... the initial value of the hotel complex at ten million naira,
A. costed,
B. had cost,
C. had valued,
D. had constructed,
E. has costed,
86. James .... reminding that not all that glitters is gold.,
A. needs,
B. need,
C. needing,
D. need's,
E. need to,
87. The dull students took correspondence course as a means .... his standard in the class,
A. to improve,
B. for improving,
C. of improving,
D. by improving,
E. to improving,
88. The boy thought that driving a car was not .... dangerous than riding a bicycle,
A. so very,
B. particularly,
C. very,www.myschoolgist.com
D. any more,
E. any,
89. I don't want .... from such a friend as Jimoh,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

A. any more advice,
B. no more advice,
C. any advices,
D. no advice,
E. any advice,
90. Very few students have satisfactory .... these days because the student population has increased,
tremendously,
A. acommondation,
B. accomodation,
C. accommodation,
D. acommoddation,
E. acommodation,
91. The old politicians were discredited because they tried to .... the people's ignorance,
A. cash in on,
B. catch in with,
C. catch in on,
D. cash in with,
E. cash in by,
92. The plane overshot the .... in a minor accident.,
A. railway,
B. hanger,
C. tarmac,
D. run way,
E. road,
93. The single .... was enough to spoil a whole lifetime of good living,
A. occurence,
B. ocurence,
C. occurrence,
D. occurrense,
E. ocurrence,
94. The thief ran ... luck when the policeman running after him caught up with him and knocked him down,
A. into,
B. with,
C. of,
D. out of,www.myschoolgist.com
E. off,
"95. Whilst the thief was .... the passengers, he kept apologizing for the inconvenience he was causing them",
A. robbing,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

B. rubbing,
C. robing,
D. rubbing,
E. robbed,
"96. Your brigade would be better for it, if you desisted .... rumor - mongering, observed the Chief of Staff",
A. from,
B. away,
C. into,
D. away from,
E. on,
97. the court ordered the lorry driver to pay for the .... to my car,
A. damages,
B. heavy damages,
C. destruction,
D. many damages,
E. damage,
98. Journalists always collect and publish ....,
A. informations,
B. an information,
C. some information,
D. information,
E. much information,
99. He received a pat .... the back for his brilliant success in the examination,
A. by,
B. at,
C. in,
D. on,
E. for,
100. He received a pat ……. the back for his brilliant success in the examination,
A. by,
B. at,
C. in,
D. on,
E. for,www.myschoolgist.com
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

USE OF ENGLISH 1986,
PASSAGE I,
It is customary nowadays among fashionable ladies and gentlemen to acquire strange and sometimes quaint,
cloths which are scarcely ever used. Sometimes it may be an approaching festival; sometimes a two-hour,
ceremony and sometimes to honor a dead colleague – something triggers off the modern craze to sew new,
"materials whose use does not outlast the moment of craze. And so, people who just occupy small apartments",
"in their parents’ homes, or have rented one room in a densely – peopled house find that more than two-",
"thirds of their rooms are filled with bongo trousers which they cannot wear, worn out jeans which stinks, or",
specially made clothes for occasions that are not recurrent.,
"Although plagued by the problem of school fees for their children, parents have had to swallow their own",
phlegm and humor their children who need special clothes for important events. Newly employed youths,
"soon find that their comrades getting married, and a new and special attire must be used to grace the",
occasion. University students see matriculation ceremonies or induction ceremonies into club membership as,
special reasons to make new attire which – you may be sure they would not wear on another occasion that,
parallels the one for which these clothes were made.,
Medical doctors may soon find another cause for the incidence of high blood pressure among the youth. The,
"desire to acquire new clothes is one strong possible cause, but a more subtle one which haunts like a ghost is",
"the problem of choice of what to wear. The youths have so stuffed their apartments, wardrobes, drawers and",
www.myschoolgist.com,
trunks with so many clothes that the greatest problem they face is the choice of what to wear.,
1. A suitable tittle for this passage is,
A. Fashion craze,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

B. Fashion craze among the youth,
C. University students and induction ceremonies,
D. Parents and the money for fashion craze,
2. In this passage the expression 'Parent have had to swallow their own phlegm' means parents,
A. had to swallow the sputum in their mouths,
B. have been phlegmatic all along,
C. have had to overcome their own pride or prejudice,
D. no longer had to swallow,
3. The youth acquire clothes for,
"A. burials, great occasions or for matriculation ceremonies",
B. occasions that are not recurrent,
C. boosting their ego,
D. the purpose of praising their parents,
4. In this passage we learn that parents,
A. admire their children's craze for new clothes,
B. do not provide the money for the fashion craze,
C. endure a lot of hand ship to provide for their children,
D. gladly provide the money for the fashion craze,
5. A likely cause of high blood pressure among the youths is,
A. the clothes they wear to parties,
B. that different clothes are meant for different occasions,
"C. that the youth have stuffed their wardrobes, apartments and drawers with new clothes",
D. the thought of the choice of what to wear,
PASSAGE II,
Delinquency describes actions that would not be crimes if performed by adults. If a young person performs,
one of such actions then he has committed a crime. Delinquency is one of several status offences- offences,
"that can be committed only by people in particular stations of life as determined by age, profession or a",
"person’s role in society. For young people such offences include drinking, driving and smoking under age",
usually they are offences only to the extent that they help to preserve some of the good things of life for the,
exclusive enjoyment of the adult world. Delinquency is therefore a weapon forged in adult pride and,
intolerance. If the world changed overnight and the responsibility would than certainly refer only to many of,
the adult actions now freely committed by them.,
6. The writer of the passage believes that delinquency laws are,
A. not relevant to human society,www.myschoolgist.com
B. only fit for young people,
C. unfair to the juveniles,
D. very fair to the adult world,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

7. Status offences are those that can be committed by,
A. all adults,
B. juveniles only,
C. delinquent juveniles only,
D. specified classes of people,
"8. In the view of the writer, drinking under age is an offence because",
A. adults want to have all the to themselves,
B. adults do not want juveniles to get drunk,
C. drunken juveniles can cause disorder in society,
D. adults have a duty to protect young persons,
9. If the world changed overnight,
A. there would be more delinquency laws,
B. delinquency would refer to all adult actions,
C. delinquency would no more be a crime,
D. delinquency would also change in meaning,
10. When young people make and enforce laws,
A. the responsibility will be too heavy on their shoulders,
B. they would retaliate. against the adults,
C. their laws will be very juvenile,
D. the world will be turned upside down,
PASSAGE III,
,"Those who are familiar with it will tell you that Ludo, like human life itself, is a game both of chance and skill."
You need skill in deciding how to make the most advantageous use of the figures that turn up on the die when,
"you cast it. Since each player has at least four alternative ways of using his figures, two players with equal luck",
"may fare differently, depending on how cleverly each one uses his figures. The element of luck, again as in",
"human life, plays a dominant role however. For no matter how skillful a player may be in using the figures he",
"gets on the die, he has a slim chance of winning if he continually throws low figures. While a combination of",
"ones and twos may be useful in checking the advance of one’s opponents, it will not take one home fast",
"enough to win. On the other hand: consistent throws of sixes and fives with the very minimum of skill, will",
"help a player to home all his four counters before any of the three other players, unless, of course, he has no",
idea of the game at all.,
11. According to the passage Ludo is,
A. more a game of skill than of chance,
B. more a game of luck than of skill,
C. equally a game of chance and skill,www.myschoolgist.com
D. a game entirely of luck,
12. It is implied in the passage that two players may fare equally if they,
A. have equal luck,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

B. apply similar skill to figures,
C. apply similar skill to similar figures,
D. have equal skill,
"13. It is implied in the passage, that in Ludo threes and fours are",
A. very high throws,
B. medium throws,
C. low throws,
D. very low throws,
"14. According to the passage, a player with consistently high throws will",
A. almost certainly win a game,
B. certainly win a game,
C. almost certainly not win a game,
D. deliberately not win a game,
"15. In the passage, the possession of skill specifically enables a player to",
A. win,
B. throw good figures,
C. use his figures efficiently,
D. check his opponents effectively,
PASSGE IV,
Farming is the most important aspect of agriculture that has attracted attention within the last few years.,
"Agriculture has several other aspects like fishery, livestock and poultry. All these are also important in that",
they have to do with the production of food items which human beings consume for survival.,
,"In many parts of world today, farming has been regarded as the mainstay of the economy. Crops such as"
"cocoa, rubber and cotton have been produced in such commercial quantity that they are sold to other",
countries. Some countries have a better comparative advantage in producing certain farm crops than other,
"countries. In these other countries, there is the need to spend a lot of money on agriculture, particularly",
"farming. Most farmers use outmoded tools. A lot of them have no place to store their crops, most of which",
are always destroyed by insects and pests before harvest time. All these have adverse effects on their,
productivity.,
,The government can do a lot to help farmers. Farmers’ co-operative societies can be encouraged and loans
"can be made available to farmers through government institutions, like banks and finance corporations.",
Farmers can be taught how to build good storage structures for their produce. All these and a lot more can,www.myschoolgist.com
help to improve the condition of farming in these countries.,
16. The most important aspect of agriculture mentioned in the passage is,
A. poultry,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

B. fishery,
C. livestock,
D. farming,
17. Farming in many countries today is,
A. an alternative to poultry,
B. of great assistance to the economy,
C. for those who are out of jobs,
D. for the illiterates,
18. Some countries produce more and better crops than others because the farmers in the former,
A. are more educated,
B. have greater manpower,
C. have more modern equipment,
D. have more fertile land,
"19. In order to help improve the state of farming, the government should",
A. give all farmers enough money to work with,
B. sell enough fertilizer to all farmers,
C. find ways of financing and modernizing the farming system,
D. help farmers with the storage of their crops,
20. A lot crop harvested are wasted because farmers,
A. allow insects and pests to destroy their crops,
B. do not have enough money to invest in harvesters,
C. do not have good storage facilities,
D. harvest too much at a time,
PASSAGE V,
,It may be argued that museums as an institution and an agency for transmitting cultural heritage are an
"artificial creature, so far as objects are removed from their natural or proper environments and put into",
"museums which are a different environment altogether. However, it seems that museums themselves have",
come to be accepted and recognized as the best equipped institutions devised by man for the assemblage of,
cultural objects and their presentation and preservation for the present and future generations.,
,"The artificial character of museums is however being gradually transformed into a cultural reality. Thus, just"
"as one goes to the theatre for plays and other performing arts; the mosque, the church or the shrine for",
"worship; the library for the printed word; today, it is to the museums one goes to see evidence of man’s",
"material outfit. For, no other institution or place so readily comes to mind as museums do when evidence of",
material culture is sought. Herein lies the importance of museums as cultural institutions and an agency for,www.myschoolgist.com
transmitting culture.,
21. Museums are an artificial creation because,
A. they are an agency for transmitting cultural heritage,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

B. natural or proper environments are removed and put into museums,
C. objects are removed from museums to natural or proper environments,
D. objects are removed from their natural or proper environments and put into museums,
22. According to the passage which of the following is NOT part of the main functions of museums?,
A. Presevatic,
B. Generation,
C. Presentation,
D. Assemblage,
23. The evidence of material culture can best be sought in the,
A. theatre and other performing arts,
B. library and the museum,
C. museum only,
D. museum more than any other institution,
24. Which of the following phrases in the passage does NOT express the artificial character of museums?,
A. Removed from,
B. For transmitting,
C. put into,
D. Devised by,
25. ......no other institution of place so readily comes to mind as museums' means that museums are,
A. always ready to enter the mind,
B. a ready example,
C. recalled with great difficulty,
D. remembered with hesitancy,
In the question below choose the option opposite in meaning to the word underlined:,
26. Mr. Jack was most flexible in his instruction,
A. rigid,
B. correct,
C. stiff,
D. upright,
27. The Universities has offered temporary accommodation for staff,
A. popular,
B. permanent,
C. recognized,www.myschoolgist.com
D. regular,
28. Mary complained that she slept on the coarse floor,
A. smooth,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

B. rough,
C. bad,
D. harsh,
29. Jim was one of the spectators as the concert,
A. ushers,
B. judges,
C. guest,
D. performers,
30. The Governor declined to give audience to the journalist.,
A. ignored,
B. accepted,
C. forgot,
D. rejected,
31. The debtor's husband is liable for his wife's debts,
A. unanswerable,
B. responsible,
C. unquestionable,
D. accountable,
32. The lotion recommended by the doctor soothed Okon's aching tooth,
A. calmed,
B. extracted,
C. excited,
D. worsened,
33. The sun cast its shadow on the wall,
A. reflection,
B. rays,
C. resemblance,
D. substance,
34. He was locked up for a fortnight,
A. released,
B. punished,
C. remanded,
D. locked out,
www.myschoolgist.com,
In the question below choose the option nearest in meaning to the word or phrase underlined:,
35. The lady acted courageously when thieves attacked her,
A. shyly,
B. fearlessly,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

C. indiscreetly,
D. timidly,
36. You are free to leave the hall,
A. at an advantage,
B. opportune,
C. at liberty,
D. right,
37. The culprit will surrender their loot to the Customs officials,
A. give away,
B. give out,
C. give in,
D. give up,
38. The discussion became animated,
A. specialized,
B. lively,
C. intellectual,
D. unruly,
39. The rich citizens are often niggardly in their ways,
A. beggarly,
B. sordid,
C. miserly,
D. pompous,
40. The musician's popularity is beginning to decline,
A. change,
B. wane,
C. slide,
D. disappear,
41. Olu promised to look out for her next time he is in town.,
A. watch for,
B. visit,
C. greet,
D. take care of,
www.myschoolgist.com,
42. Thompson was a prosecution witness at the court hearing,
A. false,
B. reliable,
C. government,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

D. trial,
43. he beggar's takings snow-belled every hour.,
A. grew,
B. turned white,
C. grew into a ball,
D. turned into snow,
44. His attempts were nipped in the bud,
A. unsuccessful,
B. cut short,
C. frustrated,
D. disqualified,
45. The preacher has made good his promise to visit some of his converts today,
A. fulfilled,
B. abide to,
C. seen to,
D. accepted,
46. 'Watch it! You could be followed said the robber,
A. Look around,
B. Be sober,
C. Be vigilant,
D. Look out,
47. Look at the tell-tale signs of battering on her,
A. confirming looks,
B. suspicious marks,
C. revealing marks,
D. signifying marks,
48. The armed robbers who raided passengers on the Expressway came to grief when they had a shootout,
with the police today,
A. came to bad end,
B. became grieved,
C. encountered grief,
D. came to dead end,
www.myschoolgist.com,
49. Many of the workers hired for firing the furnace had themselves fired as a result of the unfortunate,
accident,
A. got themselves burned accidentally,
B. jumped into the fire themselves,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

C. got themselves sacked from their jobs,
D. were sacked from their jobs,
50. The new educational system took off this school year,
A. went off,
B. continued,
C. began,
D. resumed,
51. We will surely buy this idea of introducing an entirely new product,
A. pay for,
B. accept,
C. trade in,
D. barter,
52. This year's harvest is surplus,
A. enough for need,
B. limitless,
C. more than enough,
D. plenty,
53. Many candidates now apply to read Law because it is a lucrative profession.,
A. brings plenty of profit,
B. brings high prestige,
C. bring quick money,
D. bring plenty of knowledge,
54. The pressman said that his interview with the Presidents was off the record.,
A. not written on government record books,
B. not intended for publication,
C. not taped,
D. written elsewhere other than the government records,
55. She realized that she was up against stiff competition when a new large department store was opened,
next to her small provision store,
A. next to,
B. standing next,
C. opposed to,
D. faced with,
www.myschoolgist.com,
"56. Finally, I assured him that I would not go back on my word.",
A. returned to a place,
B. return to certain word when reading,
C. re-use my word,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

D. fail to keep my promise,
57. Everybody respects the team leader.,
A. looks up for,
B. looks up on,
C. looks up to,
D. looks up at,
"58. The driver, on seeing the traffic warden, was hesitant to start the engine.",
A. slow,
B. unable,
C. anxious,
D. reluctant,
59. He likes to call attention to unimportant matters,
A. dubious,
B. incidental,
C. trivial,
D. simple,
60. The speaker took his audience down memory lane before he went to the topic of his lecture,
A. Took his audience on a journey through a street called memory lane,
B. recalled events from the past,
C. told a tale about a place called memory lane,
D. gave an outline of his lecture,
61. The new religious leader hands out an olives branch.,
A. sues for peace,
B. gives out branches of the olive tree,
C. challenges his opponents to a fight,
D. blesses his congregation,
"62. Though a brilliant student, Binta lost her tongue when she was asked to give the vote of thanks at the end",
of the Governor's visit to her school.,
A. became dumb,
B. became deaf and dumb,
C. said nothing because she was shy,
D. forgot her native language,
63. The accounts clerk was jailed because he cooked the books,www.myschoolgist.com
A. set fire to the account books,
B. sold the books in his office to get money for food,
C. falsified the accounts to his advantage,
D. destroyed the accounts books by cooking them,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

64. The task was herculean,
A. irregular,
B. related to Hercules,
C. stimulating,
D. demanding,
65. The story is rather hard to believe,
A. incredulous,
B. incredible,
C. superstitious,
D. untenable,
66. It is advisable to administer the test in the morning when students are fresh,
A. perform,
B. set,
C. undertake,
D. give,
67. He broke his mallet ostensibly trying to maintain order although he was actually enjoying the commotion.,
A. apparently,
B. carelessly,
C. angrily,
D. accidentally,
In the question below choose the word(s) or phrase which best fills the gap:,
68. Jibril found that thieves had entered his house in his absence. He went to the police to report the ....,
A. break out,
B. break up,
C. break in,
D. break into,
"69. After the accused was found guilty by the court, his counsel .... before sentence was passed.",
A. begged for mercy,
B. made a plea for mitigation,
C. made innovation,
D. made a plea for litigation,
70. Four persons accused of currency ...... are being held by the security agents,
A. traficking,www.myschoolgist.com
B. traviking,
C. trafficking,
D. traffiking,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

71. You had to stand in the corridor all the way? Poor you! I don't suppose you enjoyed the journey ...?,
A. don't you,
B. did you,
C. didn't you,
D. don't I,
72. I’m sorry I can't give you any of the oranges; I have .... left'.,
A. few,
B. little,
C. only a little,
D. a few,
73. No wonder those plants are dying. They .... any water for ages!,
A. didn't have,
B. hadn't,
C. haven't had,
D. haven't,
"74. 'Darling, do send the children to bed. I can't .... their noise any longer' he said to his wife",
A. make do with,
B. make up,
C. deal with,
D. put up with,
75. My wife and I met .... on a ship going to Liberia.,
A. ourselves,
B. one another,
C. each other,
D. ourself,
76. .... yet about the principal?,
A. Are there any news,
B. Are there some news,
C. Is there any news,
D. Is there any news,
77. I am .... to another week's holiday this year after such a tedious job.,
A. due,
B. qualified,www.myschoolgist.com
C. looking,
D. entitled,
78. I can quickly recite the National Anthem .... now.,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

A. off head,
B. off by heart,
C. at hand,
D. off hand,
79. The committee was frustrated because the Chief withheld his ....,
A. accent,
B. access,
C. assent,
D. ascent,
80. Gone are the days when he ... enjoy patronage.,
A. would,
B. will,
C. used to,
D. could,
81. He did not attend the final burial ....,
A. rite,
B. rights,
C. rites,
D. right,
82. The officers was compelled to .... the suspects’ car,
A. seize,
B. cease,
C. sieze,
D. sease,
83. He missed the point because he took the statement ....,
A. literally,
B. literarily,
C. literary,
D. unilaterally,
84. Their high .... was an advantage,
A. moral,
B. morality,
C. morale,
D. morals,www.myschoolgist.com
85. The brave officer .... the time bomb.,
A. diffused,
B. devused,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

C. defused,
D. difused,
86. A number of suspects were paraded .... the victim of the robbery,
A. in front,
B. before,
C. for,
D. to,
"87. If you want peace, you .... prepared for war",
A. had better,
B. have better,
C. had better got,
D. had better get,
88. If only we .... we could have overcome the difficulty,
A. had persevered,
B. have persevered,
C. had persevered,
D. persevered,
"89. 'We are gradually .... to the end of the programme this afternoon', remarked the chairman of the wedding",
reception,
A. arriving,
B. getting,
C. approaching,
D. going,
90. We saw him ... over a wall as the police approached,
A. leaped,
B. leap,
C. leapt,
D. leaping,
91. A number of doctors are not so all well-disposed to .... in government hospitals these days .... they?,
A. working/do,
B. work/are,
C. working/are,
D. work/aren't,www.myschoolgist.com
92. The only set of loud speakers available .... to be connected according to the instruction,
A. is,
B. are,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

C. were,
D. have,
93. We later on discovered that some members .... another meeting before the one advertised.,
A. were holding,
B. have held,
C. have been holding,
D. had held,
94. He decided to wait for the bus because he had,
A. too many luggage,
B. many luggages,
C. a lot of luggage,
D. plenty luggages,
"95. Thank you for the party, we really ....",
A. enjoyed ourselves,
B. enjoyed,
C. enjoyed very much,
D. enjoyed too much,
96. We are trying to study for the examinations last night when the light ......,
A. were taken away,
B. came off,
C. quenched,
D. went off,
"97. When he had arranged the furniture, he .... the picture on the wall",
A. hanged,
B. hung,
C. hang,
D. hunged,
"98. I forgot to bring a pen with me. Would you, please ... me yours",
A. borrow,
B. loan,
C. provide,
D. lend,
"99. If you are going to the market, may I .... please?",www.myschoolgist.com
A. for follow you,
B. come with you,
C. come by you,
D. come as your second,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

100. Wada said that two of his chickens .... eggs yesterday morning,
A. layed,
B. lied,
C. laid,
D. lain,
JAMB ENGLISH 1987,
Read each passage carefully and answer the questions that follows,
PASSAGE A,
"There are one or two things this country can teach others, one of them is the art of writing obituaries. One",
suspects that the reason why some of our newspapers still manage to break even is because of the great,
amount of revenue they derive from obituaries. It is not unusual for about one quarter of the volume of an,
"average daily to be constituted of obituaries and in in memorial alone. One possible explanation for this, it has",
"been argued, is that Nigerians value their dead greatly. And there is a saying amongst us that you do not say",
evil things against the dead. This is obviously the philosophy behind the large dose of encomiums with which,
"our dead are bestowed. From evidences of these obituaries and in memorial, every dead Nigerian must have",
been something of a saint while alive. This would explain why the death of most Nigerians is attributed to the,
"evil Machinations of the wicked. Only very few people in our country die natural death, and even when they",
"do, the obituaries, etc. always give the impression that such deaths constitute the saddest loss to befall the",
deceased family. And that is why writers of these obituaries and their allied advertisements are experts on,
www.myschoolgist.com,
‘mortuary stylistics’. This ‘mortuary stylistics’ the study in the art of eulogizing the dead and making their loss,
"sound so heart breaking, is one of the commodities we can export to other countries.",
1. The tone of this passage is,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

A. Angry,
B. Satirical,
C. Non-committal,
D. Pleasant,
2. 'Mortuary stylistics' as used in the passage refers to the,
A. art of writing obituaries,
B. text of obituaries,
C. study of obituaries,
