Question,Option A,Option B,Option C,Option D
72.   [A. First and formost B. First and,formust C. First and farmost D. First and,"foremost], a good leader must have two",characteristics.,
73. We visited  his house   [A. like B. for,like C. about D. for about] three  times.  74. She was  [A. at B. on C. by D. with]  the,verge of  tears,,
75. Everyone makes mistakes  occasionally;,nobody  is,[A. incorrigible B. Imperfect C. Infallible D. inde,structible].,
76. The woman would not part  with her,[A. discarded earthen black B. discarded black,earthen C. earthen discarded black D. black,earthen discarded]  pot.,
77. We stood up when the principal  came  in,[A. isn’t it B. didn’t we C. not so D. did  us]?,,,
78. The professor  of  medicine  has,[A. vetinary / unraveled B. vertrinary /,unravelled C. veterinary  /,unraveled D. veterinary / unravelled] the,mystery of flu.
79. Her mother brought  her some,[A. clothes B. yards C. cloth D.  clothing].,,,
80. Many workers  were,[A. laid down B. laid off C. laid out D. laid up],as a result of the textile closure.,,
81. The driver died in  the,[A. fatal B. brutal C. serious D. pathetic] road,accident.,,
82.   your parents  frown   [A. Because /,over B. Since / at C. Although /at D. As / upon],"our friendship, we shouldn’t see each other",anymore.,
"83. For more productivity, the company  is",focusing attention on the  possible,[A. synergy B. tapping C. alignment D. arrange,ment] of available recourses.,
84.   [A. After B. Much  as,"C. Since D. Though] she didn’t trust him, she","married him.  85. I wanted to know his political beliefs, so I",asked him  what,[A. this was B. these  are C. this is D. these
86. book A. cool B. cook C. fool D.  tool,,,,
87. village A. page B. pig C. made D.  came,,,,
88. patch A. starch B. fare C. mad D.  brave,"In each of question 89 to 91, choose the",option that has the same consonant,sound as the one represented by the,letter(s) underlined.
89. tangerine,(a) gear,(b) danger,(c) girl,(d) ignore
90. hair,(a) heir,(b) hour,(c) honest,(d) house
91. edition,(a) bash,(b) catch,(c) bastion,(d) rating
92. demarcation,(a) demarCAtion,(b) DEmarcation  (c) deMARcation,(d) demarcaTION,
93. impossible,(a) imPOSible,(b) IMposible,(c) imposSIble,(d) impossiBLE
94. imperialism,(a) IMperialism,(b) imPErialism,(c) impeRIAlism,(d) imperialiSM
95. (a). madam,(b) eighteen,(c) invent,(d) command,
96. (a) nineteen,(b) mother,(c) estate,(d) announce,
97. (a) commute,(b) import  (verb),(c) intend,(d) export  (noun),"In each of questions 98 to 100, the word"
98. The traditional chief NARRATED the story,to the  children.,(a) The children heard the story from  the,traditional  chief,(b) Who narrated the story to the  children?
99. The ACCOUNTANT paid the workers’  July,salary in  September.,(a) When were the workers  paid,(b) Did the cashier pay the workers’ salary  in,September
100.  The cat DEVOURED the rat.,(a) Did the rat devoured the  cat?,(b) What devoured the  rat?,(c) Did the cat pet the  rat?,(d) Is this the rat the cat  devoured?  ANSWER KEYS:
1. D 28. D 74. A,,,,
2. A 29. C 75. C,,,,
3. C 30. D 76. B,,,,
4. D 31. A 77. B,,,,
5. B 32. C 78. D,,,,
6. D 33. D 79. A,,,,
7. B 34. B 80. B,,,,
8. A 35. B 81. A,,,,
9. B 36. D 82. B,,,,
10. C 37. C 83. B,,,,
11. B 38. D 84. D,,,,
12. D 39. A 85. D,,,,
13. B 40. B 86. B,,,,
14. C 41. D 87. B,,,,
15. A 42. A 88. C,,,,
16. B 43. A 89. B,,,,
17. D 44. B 90. D,,,,
18. A 45. A 91. A,,,,
19. B 46. D 92. A,,,,
20. C 47. D 93. A,,,,
21. D 48. B 94. B,,,,
22. A 49. A 95. A,,,,
23. D 50. A 96. B,,,,
24. A 51. B 97. D,,,,
25. C 52. B 98. D,,,,
26. C 53. A 99. B,,,,
27. A 54. B 100. C,55. B,56. D,57. A,58. C
2. Which of the following is true according to,the passage?,"A. Anyone, with almost no training, can  run",pots on a  wheel.,B. Pots can be made quickly and  correctly.
"3. From the passage, how does a potter make",several pots of almost identical  size?,A. By having the knowledge of different  pots.,B. By weighing the lumps of  clay.,C. By having the right  tools
"4. The phrase trims off any waste clay, as used","in the passage, means  to---",A. cut away unnecessary  parts,B. force the clay to the  centre,C. divide the clay into two
"5. The word congenial, as used in the passage,",means ---,A. congested,B. precise,C. similar
6. Which of the following is true according to,the passage?,A. Music can enhance evaluation  performance,B. All listeners are music  makers,C. All artistes are objective in their  feelings.
"7. The expression…..stage and hall, as used in","the passage, means  the",A. artiste and his  music,B. artiste and the  audience,C. producer and the  director
"8. From the pas sage, it can be deduced  that",music Is  –,A. appreciated as the environment dictates  .,B. better appreciated in a  crowd,C. better appreciated when we are  happy
"9. According to the writer, live performances",provide a special excitement because they are,A stage -managed,B. interactive,C. error-free and  original
"10. According to the passage, music plays  a",vital role in human society  because --,A. music provides enjoyment and  relief,B. it is easy to appreciate  music,C. stage performance is the most  popular
"21. In their preparation for the masquerade,",David and others agreed to exercise extra,caution in their dealings with Samuel because,he would.,A. force them to dance with the  masquerade.
22. In the novel; Nwomiko was famous for  her,A. lack of fighting  spirit,B. spiritual  powers,C. political  struggles,D. lack of spiritual  values
"23. With remarkable agility, he mounted The",Fallen Goliath and went on to stuff his mouth,with earth.,Who was the Fallen Goliath in the excerpt,above?  A. Cromwell
24. If you have not beheld your chi in his stark,"nakedness, be prepared to do so as soon as",you set foot in that man’s house. From  the,"excerpt above, whose house was being referred",to?
"25. In the novel, the people of Umuchukwu",likened samuel  to,A. a swimmer,B. an ancestral  spirit,C. a chief  priest
26. Obu dashed out of the school building,because,A. he was given a prize by the  headmaster,B. his teacher wanted to ‘flog  him,C. he came top of Standard  I
"27. In the novel, Bright lived with Teacher",because,A. his father had gone on a long  journey,B. he was Teacher’s  nephew,C. his father was indebted to  Teacher
"28. According to the novel, Obu was good  at",A. Jokes,B. proverbs,C. cricket,D. games
29. Uke was conscripted into the  military,because  A. he wanted to travel to  Burma,B. he was a social  nuisance,C. he loved the British  soldiers,D. his grandfather was a military  man.
"30. In the novel, the ‘pad’ was a symbol  of",A. love,B. success,C. unity,D. failure
"31. It can be inferred from the novel that  Mr,",Eze was Terkura  Atsen’s,A. business  partner,B. uncle,C. role model
"32. From the novel, David thought Ifenne",should be involved in politics because he,wanted him to  ………,A. make a ‘name’ for  posterity,B. rig the election for  someone
33. The civil war created business opportunities,for people like Owiocho because,A. he became the supplier of all essential,commodities,B. the Ibos were conscripted into the  army
"34. My boy, your future is bright, you can be",anything you want to be  ….,The statement above was made because Ifenne,‘had,A. purchased his first  bus
35. The departure of Ibo competitors to  the,East had  favoured,A. Okoh’s  marriage,B. Mama Okoh’s  business,C. Torkwase at  Otukpo
36. The team’s poor performance at the,tournament plumb the depths of  horror.,A. The team’s performance took them to  the,next round.,B. The team’s performance was enjo yed by  all
37. Tolu and Chinedu live in each  other’s,pockets.,A. They are long -term business  partners,B. They steal from each  other.,C. They blackmail each  other.
"38. As the drama unfolded, Olatinuke was",advised,A. She was advised to wear her  shirt,B. She was advised to commit  herself,C. She was advised to stay  calm.
39. He is a clinging  child.,A. He is a handsome young  man,B. He is possessive,C. He likes to cling with his  sister,D. He is a  bully.
40. Zinana’s examination result was  not,unfavorable.,A. She failed her  examination  B. Her examination did not meet her,expectation.,C. She was successful in the  examination
41. You need to brush up on your  Spanish.,A. You need to study the history of  Spain,B. You need to improve your  skills,C. You need a brush from  Spain,D. You need to leam to play with a  Spainard.
42. Amaka Would pass for a beauty  queen,A. She would pass the drink to the queen who,is sitting next to  her.,B. She would be accepted by all as a beauty,queen.
"43. ‘I can’t wait to become a mother,’ The  new",bride declared,A. She sees motherhood as a  burden,B. She is excited about  motherhood,C. She is not keen on becoming a  mother
44. Usman needs to get his acts together if he,wants to pass the  examination.,A. He needs to put all points down in the,examination,B. He needs to organize  himself.
45. Ramatu ‘expressed her feelings in  no,uncertain  terms.,A. She expressed it dearly and  strongly.,B. She expressed it secretly and  courageously.,C. She expressed it quietly and  cautiously.
46. Chibuzor gave a curt nod and walked  away.,A. gentle.,B. rude.,C. polite.,D. shocking.
47. The girl took a cursory glance at the letter,and hid  it.,A. sententious.,B. concise.,C. brief.
48. The relationship between the couple has,been frosty .,A. fraudulent.,B. cordial.,C. amenable.
49. The Nobel laureate’s activity in the field  of,science is  heinous .,A. indelible.,B. laudable.,C. deplorable.
50. The accused was eventually  convicted.,A. initially.,B. consequently.,C. subsequently.,D. finally.
51. The plebs can be found in every society  of,the world.,A. masses,B. middle  class,C. elite
52. Everyone’s condition was  appalling . A. simple,B. cloudy,C. pleasant,D. complex,
53. The man’s mordant wit is apparent to the,entire  village.,A. Kind,B. scathing,C. caustic
54. The war against malaria keeps  waxing .,A. happening,B. decreasing,C. increasing,D. wavering
55. The soldiers tried in their dogged defence,of the  city.,A. indifferent,B. strong,C. miserable
56. Ayodeji is an ardent supporter of education,for the girl  child.,A. an optimistic,B. a cogent,C. a passionate
57. The scholars’ epitaph was demolished.,A. monument,B. embodiment,C. farmland,D. book
58. Mohammed does his work with so  much,ardour .,A. enthusiasm  B. discouragement,C. knowledge,D. indifference
59. The athlete is proud to be in the  vanguard,of sports development.,A. unforgettable  position,B. leading  position,C. destructive  position
60. Nwankwo was on the verge of signing  a,two-year contract with the  club.,A. shore,B. brink,C. summit
61. I am tired of your eternal argument A.,open,B. constant,C. strong,D. useless
63. The actress screamed when she noticed an,object behind  her,A. wailed,B. protested,C. waded  in
64. The exhibition was an eye opener to  all.,A. dispatch,B. display,C. style,"D. examination  65. As a journalist, Bala has always had a  nose"
66. The girl says she is averse... what others,admire.,A. for,B. from,C. to
67. Our teacher defined... in his  introductory,A. onomatopiea,B. onomatopoeia,C. onomatopoeia,D. onomatopea
68. The philanthropist devoted himself...  the,poor,A. to helping,B. in helping,C. by helping
69. Tinu likes apples... she does not like,oranges.,A. or,B. for,C. so
70. The students had a ... on Independence,Day.,A. march  past,B. match  pass,C. march  pass
72. The continuous rain has really ... the  soil.,A. melted  up,B. mopped  up,C. satiated,D. saturated
73. The police described the boy as  being...,hand,A. on by,B. up to,C. over at
74. It was very easy for the two political,parties to form a...  government,A. co-operative,B. colonial,C. collusion
75. All farmers were encouraged... carry out,fumigation on their  farms,A. to,B. from,C. in
76. There are lots of... in the  park.,A. luxury buses moving  fast,B. luxury buses fast  moving,C. moving fast luxury  buses,D. fast-moving luxury buses
77. Yours is to command... is to  obey,A. their,B. theirs,C. theirs',D. their's
78. Local governments are authorized to pass  -,--,A. bye's-law,B. bye-law,C. bye-laws
79. Umar: I have never visited the dentist.,Aliyu:,A. neither have l,B. I also  never,C. neither  myself
80. Usman would have won the  race....,A. if he had run faster  faster,B. although he ran  faster,C. only if he could run  fast,D. if he had run  faster
81. My father told me to take the money,from ... it,A. ever who  offers,B. whoever  offers,C. whomever  offers
82. Our teacher  defined  ... as the killing of  one's,mother.,A. patriach,B. matricide,C. matriarch
"83. If you  are confused  ... anything, phone  my",office.,A. about,B. for,C. of
84. We have a  family  mutiny .... our hands.,A. from B. of,C. on,D. for,
85. We should try to  help...,A. the less  fortunate,B. this less  fortunate,C. the less  fortunate,D. less fortunate.
86. glasier A. gleam B. flat C. feign D.  glass,,,,
87. laud A. lavatory B. loud C. lathe D.  core,,,,
88. coma A. colonel B. cogent C. come D.,comma,"In each of questions 89 to 91, choose the",option that has the same consonant sound,as the one represented by the letter(s)
89. lose A. mouse B. nurse C. noise D.  horse,,,,
90. guitar A. jam B. strange C. judge D.  rogue,,,,
91. loose A. sell B. fuse C. close D.  rouse,"In each of question 92 to 94, choose the",option that rhymes with the given word.,,
92. rite A. list B. wit C. wright D.  rim,,,,
93. Joys A. elbow B. po ts C. boys D.  stays,,,,
94. Call A. wall B. quail C. dull D.  slate,"In each of questions 95 to 97, choose the",most appropriate stress pattern from the,options. The stressed syllables are written,in capital letters
95. dedication A. dedicaTION B. deDlcation C.,dedication D.  Dedication  96. international A. interNAtional  B.,internaTIONal C. International D.,inTERnational,
97. information A. information B.  information,C. information D. Information,"In each of question 98 to 100, the word in",capital letters has the emphatic stress.,Choose the option to which the given
98. Adamu is leaving a CAR  behind.,A. What is Adamu leaving  behind?,B. Is Adamu driving the car in  front?,C. Who is leaving a car  behind?,D. Where is Adamu leaving a  car?
99. Lambusa TOOK OFF the  wig.,A. Who took off the  wig?,B. What did Lambusa  do?,C. Did Lambusa take off a  wig?,D. Did Lambusa take off the  ring?
100.  The bed is IN the  room,A. Is the bed in the  plaour?,B. Was the bed in the  room?,C. What is in the  room?,D. Where is the  bed? ANSWER KEYS:
1. C,,,,
2. B,,,,
3. B,,,,
4. A,,,,
5. D,,,,
6. A,,,,
7. B,,,,
8. A,,,,
9. B,,,,
10. A,,,,
11. B,,,,
12. C,,,,
13. D,,,,
14. B,,,,
15. D,,,,
16. B,,,,
17. A,,,,
18. C,,,,
19. C,,,,
20. C,,,,
21. B,,,,
22. B,,,,
23. D,,,,
24. B,,,,
25. B,,,,
26. B,,,,
27. A,,,,
28. C,,,,
29. B,,,,
30. A,,,,
31. C,,,,
32. A,,,,
33. C,,,,
34. D,,,,
35. B,,,,
36. C,,,,
37. D,,,,
38. C,,,,
39. B,,,,
40. C,,,,
41. B,,,,
42. B,,,,
43. B,,,,
44. B,,,,
45. C,,,,
46. A,,,,
47. D,,,,
48. B,,,,
49. B,,,,
50. A,,,,
51. C,,,,
52. C,,,,
53. D,,,,
54. D,,,,
55. A,,,,
56. C,,,,
57. A,,,,
58. A,,,,
59. B,,,,
60. B,,,,
61. C,,,,
62. D,,,,
63. A,,,,
64. B,,,,
65. C,,,,
66. C,,,,
67. C,,,,
68. A,,,,
69. D,,,,
70. A,,,,
71. D,,,,
72. D,,,,
73. D,,,,
74. D,,,,
75. A,,,,
76. D,,,,
77. B,,,,
78. C,,,,
79. A,,,,
80. D,,,,
81. B,,,,
82. B,,,,
83. A,,,,
84. C,,,,
85. D,,,,
86. D,,,,
87. B,,,,
88. B,,,,
89. C,,,,
90. D,,,,
91. A,,,,
92. C,,,,
93. C,,,,
94. A,,,,
95. C,,,,
96. A,,,,
97. A,,,,
98. A,,,,
99. B,,,,
100.  D UTME 2014 USE OF ENGLISH QUESTIONS,"Read passages I, and II carefully and",answer the questions that follow. Each,question carries 3 marks,PASSAGE I
2. Which of the following is true according to,the passage?,A. Change is  inimitable,B. Change is  inestimable,C. Change is  invaluable
3. It can be deduced from the passage that,political and social changes  are,A. Intertwined,B. Antithetical,C. Independent
4. A suitable title for this passage  is,A. Reasons for political  change,B. The struggle for political  power,C. Elements of  politics,D. Social change and political
"5. The word alteration, as used in  the","passage,  means",A. Multiplication,B. Recognition,C. Modification
6. It can be inferred from the passage that,snakes  are,A. Heterogeneous  creatures,B. Voracious cow  eaters,C. Great insect  eaters
"7. The most notable thing about snakes,","according to the passage, is that  they",A. Abound in gombe and plateau  state,B. Are versatile in  reproduction,C. Eat big but  seldom
8. Which of the following is true  according,to the  passage?,A. Snakes are not in the polar  region,B. Snakes are endemic on every  continent,C. There are countless number of snakes  in
10. A suitable title for this passage  is,A. Feeding habits of  snakes,B. Some characteristics of  snakes,"C. Snakes as legless, cold -blooded  reptiles",D. Species of snakes in Nigeria and  other
21. Chief Okeke okafo decided to buy an 'iron,horse' because it would,A. Allow him to be the head of the  clan,B. Raise his status in the  clan,C. Minimize the strain of travel from one town
"24. According to the novel, a pupil  who",`carried his class` would be instructed to,A. Dance on the assembly  ground,B. Fetch firewood for the  teachers,C. Carry a  pad
"25. If you get confused at any stage, let me",know; I want this pottage to be well prepared.,The statement above was meant  to,A. Distract  Ada,B. Encourage Ada`s cooking  habit
"26. According to the novel, Mazi laza  would",shout at any person standing in his way,because his bicycle in Umuatala clan  was,A. Had injury people on many  occasions,B. Was manufacture by local  engineers
"27. From the novel, the first person to own a",bicycle in Umuatala clan  was,A. Chief Okeke  Okafo,B. Polycarp's  father,C. Mazi Lazarus
"28. In the novel, what did Mazi Laza do  after",putting a pinch of snuff into each  nostril?,A. He commended his  wife,B. He gave the remaining to  Nwobiara  C. He nodded with  satisfaction,D. He complained of the  stuff
"29. From the novel, what was Ada`s",punishment for fighting with  madam,A. She copied ps alm 119 from start to  finish,B. She fetched water from the stream with,a basket
"30. In the novel, Obu would not touch cocoyam",soup because he claimed  it,A. had lost its  taste,B. would get struck in his  throat,C. would make him  sick
31. The entertainment expenses for Okoh,Ameh`s traditional marriage rites were paid  for,by,A. Okoh amah`s  parents,B. the bide`s  parents
32. Mfa`s friend asserted that Bob Marley  and,"other reggae stars were ""good"" because  they",A. smoked Indian  hemp,B. were gainfully  employed,C. listened to their  parents
"33. From the novel, what did Terkura do with",the balance of the money chief Ofega paid  him?,A. He married another  wife,B. He brought a beautiful  house,C. He invested it in his  business
"35. In the novel, Maria's tolerance of her",husband spending half the night on duty at the,hotel was considered  a,A. Way of taking great  risk,B. way to remedy all natural  problems
36. The minister considered the ministry’s,budget to a drop in the ocean in view of  the,number of projects in the  pipeline.,A. The amount available may be inadequate for,projected  expenditure
37. The police are looking for the woman  who,framed her children out to her  neighbours.,A. The woman and her children are in the habit,of working in neighbour’s farm and the police,are not well disposed to  this.
39. The president said that he found himself,between a rock and a hard place when the,press said that he had  resigned,A. He dreamt t hat he was  abandoned,B. He thought that hard places were  unsafe
40. Kunana is like a bear with a sore  head.,A. He is a  bully,B. He is grumpy,C. He is ugly,D. He is quiet
41. Olu gave his brother a bumpy  ride,A. Olu's brother rode on Olu's back to  success.,B. Olu took his brother on a bumpy  road,C. Olu gave his brother a difficult  time,D. Olu gave his brother a ride in his  car
42. Adeola dosen't have to go the farm  today.,A. Adeola may go to the farm today if he so,wishes,B. Adeola ought not to have gone to the farm,today
43. My boss asked me to take my eyes off  the,ball. A. I should stop paying attention to what  is,most important,B. I should be focused when I am about stay,off football
44. The robber was hedged in by the  people.,A. The robber was surrounded by the  people,B. The robber was killed by the  people,C. The robber was exposed by the  people,D. The robber was caught by the  people
45. Many workers are not happy because they,live a hand -to-mouth  life.,A. They work hard with their  hands,B. They are voracious and  avaricious,C. They are barely  surviving
46. Prolonged strike action debilitated the,industry.,A. invigorated,B. isolated,C. weakened
48. The young girl was taken aback by her,father's gift of a  car.,A. shocked,B. unmoved,C. surprised  D. nonplussed
49. Musa is a gifted but erratic  player,A. strong,B. regular,C. unpredictable,D. unstable
50. The lamp shades were  translucent,A. opaque,B. interested,C. luminous,D. transparent
51. My niece has an unquenchable thirst for,adventure  stories.,A. a spurious,B. an illegitimate,C. a reduced
52. Some of my neighbours have an  antipathy,to dogs.,A. enmity  towards,B. affection  for,C. acronym  for
53. The dressmaker -...- unpicked the seam of,the shirt,A. threaded,B. sewed  up,C. picked  up
54. The testimony of the witness was  vague .,A. disturbing,B. true,C. ambiguous,D. clear
"55. As a student, Isa tried communal living for",a few  years,A. collective  B. general,C. shared,D. private.
56. The chairman admires incessant  meetings.,A. unusual,B. planned,C. constant,D. irregular
57. Today's weather is favourable for a game,of tennis.,A. impartial,B. abnormal,C. encouraging
58. the candidates looked aghast at the  first,reading of the  questions.,A. fulfilled,B. dismayed,C. satisfied
59. Joke gave Muhammed a jaunty  smile.,A. a discouraging,B. an inviting,C. a frightful,D. a cheerful.
60. The first round of the tournament was  a,doddle .,A. easy,B. balanced,C. dodgy
61. The lazy man cast a lustful glance at  his,neighbour's  wife.,A. hateful  B. quick,C. covetous,D. envious
62. They accused him of fomenting political,unrest.,A. inciting,B. discouraging,C. preventing
63. You can learn a great deal just from,watching other  players.,A. invent,B. accumulate,C. allow
64. All the researchers were asked to  garner,information on the new viral infection.,A. collect,B disseminate,C. distort
66. The House and The  Senate  will  At noon,next Wednesday to hear address by the,president,A. convene,B. adjourn
67. At the --- of the century many ways of,doing things were  introduced.  A. turn,B. event,C. birth,D. sight
"68. You may have the pencil, but you can't",have the ballpoint  ...,A. either,B. furthermore,C. also
69. The president said that the country was not,out of the. ... yet.,A. forest,B. fog,C. water
70. He went to the restaurant to enjoy  the,special.,A. suite,B. cuisine,C. a la carte
71. The invigilator  --- to know how long  the,examination  ... going  on.,A wanted/has been,B wants/had been,C. wants/have been
72. The guard spent all the night  pacing ---,A. from and  to,B. fro and  to,C. to and  from,D. to and  fro
73. The woman refused  to testify  .... Her,husband,A. in,B. at,C. against  D. from
74. Abike must have found the very interesting,movies  quite....,A. absolving,B. absorbing,C. nauseating
75. The words   divided between the end of,one line.,A. have been,B. have being,C. has been
76. Those   are very  beautiful.,A. flowers of  her,B. flowers of  her's,C. our flower,D. flowers  ours
77. Cooking has never been  Jumoke’s ---,A. recital,B. purview,C. style,D. forte
"78. When the strike is over, there will probably",be an increase in wages  and a  increase in,prices,A. sporadic,B. concordant
79. My mother was —annoyed with me for,coming late.,A. very,B. neither,C. hotly
81. The clock --- 12 O’clock two hours  ago.,A. strikes,B. strike,C. struck,D. striking
82. Whats is the jury’s --- the matter,A. verdict  on,B. verdict  from,C. verdict  at,D. verdict  with.
83. The unconscious  man was ---- after,receiving first aid.,A. reawakened,B. reformed,C. restored
84. The laughter –his face for a  moment.,A. improved,B. controlled,C. animated,D. remade
85. She traced her family history -- matrilineal,descent.,A. in,B. by,C. with
87. odour,A. flow,B. sugar,C. hold,D. floor
88. palm,A. ranch,B. florid,C. lunch,D. plait
89. ision A. instruction B mansion C. nation  D.,enclosure.,,,
90. gnash A. forge B. new C. king D.  ring,,,,
91. epitaph A. pseudo B. fan C. paper D.,pneumonia.,Choose the option that rhymes with the,given word.,
92. ever A. favour B. f ever C. never D.  heavier,,,,
93. keep A. reap B seethe C. threat D.  dead,,,,
94. tax A. box B. lacks C. back D.  ask,"In each of questions 95 to 97, choose the",most appropriate stress pattern from the,options. The stressed syllables are written,in capital letter.
95. valedictory A. valedictory B. valedicTORY C.,Valedictory D.  valedictory  96. congratulation A. congraTUlation  B.,congratuLAtion C.  CONgratulation,D. conGRAtulation,
97. conspiracy A. conspiRAcy B.  conspiraCY,C. consPIracy D. CONspiracy,"In each of questions 98 to 100, the world",in capital letters has the emphatic stress.,Choose the option to which the given
98. My mother brought a BICYCLE  yesterday.,A. What did you mother buy  yesterday?,B. Whose mother bought a bicycle  yesterday?,C. Did my mother steal a bicycle  yesterday?,D. When did my mother buy a  bicycle?
99. AMINA went to Abuja by  air.,A. Is Amina going to Abuja by  air?,B. Who went to Abuja by  air?,C. Did Amina go to Abuja by  road?,D. Did Amina go to Jos by  air?
100.  Musa is STAYING in  Enugu.,A. Is Musa passing through  Enugu?,B. Is Musa staying on the outskirt of  Enugu?,C. Is Audu staying in  Enugu?,D. Was Musa staying in  Enugu?  ANSWER KEYS:
1. C,,,,
2. C,,,,
3. A,,,,
4. D,,,,
5. C,,,,
6. A,,,,
7. A,,,,
8. A,,,,
9. B,,,,
10. B,,,,
11. C,,,,
12. B,,,,
13. A,,,,
14. B,,,,
15. A,,,,
16. C,,,,
17. B,,,,
18. C,,,,
19. A,,,,
20. D,,,,
21. D,,,,
22. D,,,,
23. D,,,,
24. A,,,,
25. D,,,,
26. C,,,,
27. C,,,,
28. C,,,,
29. D,,,,
30. C,,,,
31. A,,,,
32. A,,,,
33. C,,,,
34. D,,,,
35. C,,,,
36. A,,,,
37. B,,,,
38. B,,,,
39. C,,,,
40. A,,,,
41. C,,,,
42. B,,,,
43. A,,,,
44. A,,,,
45. C,,,,
46. A,,,,
47. B,,,,
48. B,,,,
49. B,,,,
50. A,,,,
51. C,,,,
52. B 53. A,,,,
54. D,,,,
55. D,,,,
56. C,,,,
57. C,,,,
58. B,,,,
59. D,,,,
60. A,,,,
61. C,,,,
62. A,,,,
63. D,,,,
64. A,,,,
65. A,,,,
66. A,,,,
67. A,,,,
68. D,,,,
69. D,,,,
70. B,,,,
71. D,,,,
72. D,,,,
73. C,,,,
74. C,,,,
75. A,,,,
76. D,,,,
77. D,,,,
78. C,,,,
79. A,,,,
80. C,,,,
81. C,,,,
82. A,,,,
83. D,,,,
84. C,,,,
85. B,,,,
86. A,,,,
87. D,,,,
88. A,,,,
89. D,,,,
90. B,,,,
91. B,,,,
92. C,,,,
93. A,,,,
94. D,,,,
95. A,,,,
96. C,,,,
97. B,,,,
98. A,,,,
99. B,,,,
100. A,UTME 2015 USE OF ENGLISH QUESTIONS,COMPREHENSION : Read the passage,carefully and answer the questions that follow,PASSAGE I
"1. The expression third party, as used  in","the passage,  means",a. Politician,b. Intruder,c. Conformist
3. Which of the following statements can,be inferred from the  passage?,a. The approach to employ in conflict,management depends on the state of  affairs,b. Only one conflict management approach
"4. According to the passage, the different",approaches to conflict management  are,a. Pernicious,b. Uniform,c. Misleading
"5. The word utility, as used in the  passage,",means,a. Difficulty,b. Attitude,c. Usefulness
"6. The word couched, as used in  the","passage,  means",a. Arranged,b. Expressed,c. Modified
"7. From the writer's point of view, one can",conclude  that,a. The only authority a society has is  its,language  b. Language and culture are  interwoven,c. People of the same culture in the  same
8. Which of the following can be inferred,from the  passage?,a. The world is interpreted to use only  in,our native  language,b. Our native language is as important  as
9. What is the symbolic function of a  native,"language, according to the  passage?",a. It enables the society itself the  more,b. It promotes understanding within  the,group
"10. From the passage, one can imply  that",a. The language of instruction is ideally one's,own language,b. Native languages are difficult to use  as,languages of  instruction.
1971. Over 80% of elementary and  secondary,schools were privately owned and competition,was ..... 13 ..... among these sch ools. Each,strived to carve  an ...14.... for herself  by,excelling in sports or academics and students
12. A. influenced  B. hampered  C. subdued,D. rejected,,,
13. A. high B. minimal C. low D.  moderate,,,,
14. A. attitude B. image C. effort D.  avenue,,,,
15. A. appreciate B. emulate C. reject D.,denounce,,,
16. A. mild B. acute C. slow D.  average,,,,
17. A. seldom B. usually C. often D.,frequently,,,
18. A. lauded B. muffled C. muffled  D.,enunciated,,,
19. A. rejects B. approves C. contradicts D.,verifies,,,
20. A. Lauded B. Muffled C. Mumbled D.,Enunciated,These question 21 to 36 are based on A. H,"Mohammed's ""The Last Day at Forcados","High School"""
21. The information that Efua's diary had,been leaked to all in the s chool was first made,known to her by  ----,a. Caro,b. Ansa
"22. ""What do you want? Doesn't it offend",your pure gentle soul to be sitting beside  me?,"In the excerpt above, pure and gentle soul",referred to,a. Nene
24. What did Ansa do when Efau  was,introduced to him for the first  time,a. He smiled  sheepishly,b. He murmured  awkwardly,c. He snubbed  her
"25. After the graduation, Nene hoped to  study",a. Accountancy,b. Law,c. Architecture,d. Education
"26. At one time, the closeness between Jimi",and Wole heightened because they wanted  to,a. Contend with Jimi adversaries  at,Forcados High  School,b. Unite against the bullying of the  eldest
27. Teacher Bade earned the  nickname,"""cane"" because he  was",a. A Discipline master in the  school  b. Always ready to listen to student's,complaints,c. Always ready to punish  offenders
"28. From the storyline, we could  conclude",that Forcados high school  emphasized,a. Individuality,b. Conformity,c. Duplicity
29. Despite the fact that Anza was not as,"brilliant as Jimi, he still saw jimi as  a",a. Friendly and likeable  person,b. Timid and likeable  person,c. Likeable but hostile  person
30. Jimi was to run away from the  policemen,when they asked him to stop  by,a. Getting help from a good  Samaritan,b. Jumping into a nearby  bush,c. Hiding under the  table
31. The impromptu meeting to prepare for,the mid -term dinner was attended by  the,a. School  prefects,b. Organizing  committee,c. Ss3 students
32. What did Jimi occupy himself with as he,took his  shower,a. He was  whistling,b. He was  crying,c. He was  dancing
33. Who was considered as a bright spark in,an unspoken contest with Jimi over their,chemistry  results?,a. Eze,b. Caro
34. The teacher's attitude towards Efau  was,that of,a. Recognition,b. Misconception,c. Misapplication
35. Which of these best describe Aunty  Moni's,character  trait,a. Garrulous,b. Docile,c. Arrogant
36. The workers tightened their hold on the,capital,a. They tightened a rope round their  capital,b. They controlled the capital more  strictly,c. The held unto other workers in  the
37. Amedu's actions provoked severe  criticism,a. His actions were seriously  rejected,b. His action were severe and  accepted  c. His action were itemized because he was,young,d. His action provoked the  humour
38. I haven't seen the movie and my brother,hasn't  either,a. I have seen the movie but neither of my,brother  have,b. My brother and I haven't seen the  movie
39. Sule would have been given the car if  his,father had hot  complained.,A. He wasn't given the car because his father,complained,B. He was given the car because his  father
